name,rank_custom,rank_bangumi,subjectname
2096,275,219,秀逗魔导士NEXT
35679,276,237,魔法少女奈叶 The MOVIE 2nd A’s
696,277,325,剑风传奇
369,278,771,老人Z
234,279,145,AIR
100449,280,267,月刊少女野崎君
72941,281,248,斩服少女
2046,282,404,王立宇宙军 欧尼亚米斯之翼
1219,283,365,现视研2
2611,284,223,天体战士 第2期
927,285,114,秒速5厘米
337,286,273,全金属狂潮 The Second Raid
909,287,146,龙与虎
2059,288,338,斗牌传说
2896,289,211,×××HOLiC◆继
4075,290,387,此时此刻的我
10419,291,463,第一神拳
486,292,262,娜娜
6390,293,312,游戏王－怪兽之决斗
233,294,195,空之境界 第一章 俯瞰风景
1878,295,239,校园迷糊大王 二学期
4406,296,375,罗德斯岛战记
11577,297,281,偶像大师
2842,298,301,战斗妖精雪风
148036,299,337,伤物语II 热血篇
1443,300,317,四叶游戏
88433,301,399,寄生兽 生命的准则
8,302,131,Code Geass 反叛的鲁路修R2
77476,302,355,希德尼娅的骑士
4035,304,292,摇滚新乐团
68812,305,222,物语系列 第二季
259,306,138,夏目友人帐
3293,307,296,热带雨林的爆笑生活FINAL
150246,308,397,全金属狂潮 Invisible Victory
193042,309,390,有顶天家族2
928,310,381,现视研
109375,311,240,Fate/stay night [Heaven’s Feel] I.presage flower
24274,312,575,鲁邦三世  第一期
968,313,218,天体战士
187276,314,179,NO GAME NO LIFE ZERO
144087,315,341,马男波杰克2
24790,316,214,男子高中生的日常
9564,317,799,明日的娜嘉
1373,318,127,监狱兔 第一季
57105,319,609,飞跃巅峰！飞跃巅峰2！合体剧场版
84122,320,747,时光钟摆
9618,321,327,星界的战旗II
284,322,332,草莓棉花糖
225801,323,498,银翼杀手：2022大断电
891,324,139,续 夏目友人帐
3292,325,290,热带雨林的爆笑生活DELUXE
9619,326,328,星界的战旗III
8181,327,480,天才嘉年华
8987,328,569,蜡笔小新 呼风唤雨！战国大合战
3113,329,308,机动战士高达UC
2693,330,611,和巴什尔跳华尔兹
3893,331,532,原罪的卡辛
83868,332,383,元气囝仔
10840,333,466,剑风传奇 黄金时代篇I 霸王之卵
13498,334,348,Heart Catch光之美少女 超级时尚秀在花之都...真的吗！？
207573,335,278,月色真美
1958,336,446,高智能方程式：SIN
14106,337,401,苍穹之法芙娜 RIGHT OF LEFT
2463,338,184,无头骑士异闻录
2094,339,305,秀逗魔导士
197078,340,705,鹬
80199,341,627,对话的维度
3134,342,442,数码暴龙大冒险 我们的战争游戏
812,343,250,空之境界 第二章 杀人考察（前）
1029,344,155,悠久之翼2
799,345,198,悠久之翼
47730,346,653,宇宙战舰大和号2199 第二章「死战太阳系」
2461,347,156,搞笑漫画日和
45336,348,227,怪诞小镇 第一季
9588,349,425,金田一少年事件簿
9617,350,454,星界的战旗
9853,351,245,灵异E接触
2921,352,346,相聚一刻
119356,353,536,海洋之歌
100437,354,665,鲁邦三世 次元大介的墓标
55654,355,654,Daicon4 开幕动画
3916,356,452,甲贺忍法帖
13014,357,354,你看起来很好吃
4028,357,350,猫汤
129844,359,602,钻石王牌 第二季
43581,360,329,空之境界 未来福音
3291,361,265,热带雨林的爆笑生活
67217,362,272,银魂剧场版 完结篇 万事屋永不落
221726,363,360,妖精森林的小不点
7206,364,751,黄金宝贝
11603,365,521,圣诞夜惊魂
54550,366,691,在这世界的角落
4193,367,426,NHK15个动画短片
79656,368,851,银河英雄传说 新战争的序曲
90880,369,398,玉子爱情故事
18082,370,975,银河天使A
23495,371,160,夏目友人帐 肆
300,372,309,俗・再见绝望先生
10393,373,715,宇宙战舰大和号
9001,374,712,天才嘉年华BEYOND
4212,375,546,机动武斗传G高达
3471,376,413,刀语
18779,377,554,机动战士Z高达III 星星的鼓动就是爱
5378,378,522,机动战士Z高达 星之继承者
11895,379,989,机器人嘉年华
14877,380,448,大~集合！小魔女DoReMi
35858,381,128,小马驹G4 第二季
29870,382,140,小马驹G4 第一季
218707,383,238,少女终末旅行
10357,384,293,猎人 OVA2
38435,385,859,机动战士高达 剧场版Ⅰ
77171,386,561,高达创战者
226677,387,326,我的英雄学院 第三季
118262,388,528,花园墙外
8199,389,662,夜行神龙
3641,390,641,第一神拳 New Challenger
4047,391,791,随风舞月影兰
2439,392,324,×××HOLiC
305,393,410,魔女宅急便
1966,394,385,交响情人梦 巴黎篇
10391,395,542,城市猎人
334,396,377,全金属狂潮
1956,397,518,高智能方程式：ZERO
55770,398,368,进击的巨人
4884,399,255,星游记
4216,400,261,圣母在上 第3季
3022,401,501,剧场版 精灵宝可梦：超梦的逆袭
44692,402,244,魔法少女小圆 剧场版 [后篇] 永远的物语
57995,403,423,RWBY预告片
47665,404,516,鼹鼠的故事
14542,405,560,精神分裂症
11602,406,405,飞屋环游记
14876,407,544,小魔女DoReMi ♯
176478,408,303,兽娘动物园
16557,409,788,装甲骑兵 红肩队档案：野心的根源
124646,410,514,小魔女学园 魔法游行
13557,410,335,幸运星 OVA
2097,412,434,秀逗魔导士TRY
10358,413,291,猎人 OVA3
2733,414,713,月光旅程 -Touch down-
299,415,345,再见绝望先生
11598,416,436,×××HOLiC・笼 徒梦
109869,417,428,玉响～毕业写真～
18778,418,804,机动战士Z高达II 恋人们
3019,419,409,精灵宝可梦
10599,419,550,科拉传奇 第一季：气和
8386,421,506,北斗神拳
1942,422,363,魔卡少女樱 被封印的卡片
13045,423,469,光之美少女全明星DX3 传达到未来！连结世界☆彩虹之花！
3130,424,323,数码暴龙03驯兽师之王
5870,425,416,九色鹿
5997,426,445,飞跃巅峰！剧场版
2047,427,644,OTAKU的录像带
78798,428,1041,第一神拳 Rising
5998,429,484,飞跃巅峰2！剧场版
2582,430,372,玲音
97305,431,415,空之境界 未来福音 extra chorus
1894,432,334,勇者王GaoGaiGar
2127,433,314,AIR 夏季篇
1030,434,482,翼神传说
1639,435,450,变形金刚G1
2603,436,374,狱・再见绝望先生
36355,437,455,鲁邦三世 ～名为峰不二子的女人～
26593,438,1187,曙光Q
63151,439,811,纸人
6326,440,952,平衡
64172,441,435,偶像大师 剧场版 向着光辉的彼岸！
22505,442,572,福音战士新剧场版：Q
29421,443,220,少年同盟 2
50658,444,539,无敌破坏王
766,445,315,空之境界 第四章 伽蓝之洞
3626,446,313,李献计历险记
119035,447,443,头脑特工队
137722,448,500,只有我不存在的城市
28205,449,400,日常 （ETV版）
3805,450,392,忏・再见绝望先生 番外地
24823,451,495,蜡笔小新
37819,452,333,向阳素描×蜂窝
3133,453,583,数码暴龙大冒险 滚球兽的诞生
2166,454,357,乌龙派出所
12426,455,311,轻音少女 剧场版
2460,456,212,搞笑漫画日和2
3421,456,504,五星物语 剧场版
4608,458,260,降世神通：最后的气宗 第三季
4607,459,258,降世神通：最后的气宗 第二季
10436,460,407,战国鬼才传
407,461,566,平成狸合战
227718,462,489,Megalo Box
96167,463,769,了不起的狐狸爸爸
54675,464,494,小魔女学园
693,465,412,草莓棉花糖 OVA 第1期
1957,466,534,高智能方程式：SAGA
30222,467,976,装甲骑兵 佩鲁森档案
977,468,356,阿滋漫画大王
893,469,418,灰羽联盟
64086,470,1229,幻想曲
1848,471,622,读或死 OVA
32164,472,1155,六翼天使之声
4215,473,321,圣母在上 春
2459,474,233,搞笑漫画日和3
4859,475,373,×××HOLiC 笼
62571,476,598,第三届东方M-1漫才大赛
1955,477,543,高智能方程式：Cyber Formula 11
23325,478,857,雇工人生
47685,479,420,南家三姐妹 我回来了
1742,480,371,忏・再见绝望先生
14881,481,937,大~集合！小魔女DoReMi 青蛙石的秘密
2710,482,614,风人物语
